Year,Monthy,Value
1950,10,-0.15
1950,11,-0.26
1950,12,-0.12
1951,1,-0.31
1951,2,-0.37
1951,3,-0.16
1951,4,-0.09
1951,5,0.04
1951,6,0.03
1951,7,0.1
1951,8,0.11
1951,9,0.17
1951,10,0.13
1951,11,0.03
1951,12,0.21
1952,1,0.14
1952,2,0.11
1952,3,-0.03
1952,4,0.07
1952,5,0.08
1952,6,0.05
1952,7,0.07
1952,8,0.06
1952,9,0.09
1952,10,0.01
1952,11,-0.08
1952,12,0.05
1953,1,0.07
1953,2,0.15
1953,3,0.15
1953,4,0.26
1953,5,0.2
1953,6,0.21
1953,7,0.09
1953,8,0.1
1953,9,0.07
1953,10,0.13
1953,11,0.04
1953,12,0.07
1954,1,-0.2
1954,2,-0.06
1954,3,-0.14
1954,4,-0.08
1954,5,-0.12
1954,6,-0.06
1954,7,-0.09
1954,8,-0.05
1954,9,-0.01
1954,10,-0.01
1954,11,0.09
1954,12,-0.12
1955,1,0.13
1955,2,-0.17
1955,3,-0.29
1955,4,-0.2
1955,5,-0.15
1955,6,-0.08
1955,7,-0.11
1955,8,-0.02
1955,9,-0.04
1955,10,-0.09
1955,11,-0.26
1955,12,-0.27
1956,1,-0.11
1956,2,-0.17
1956,3,-0.16
1956,4,-0.25
1956,5,-0.26
1956,6,-0.16
1956,7,-0.12
1956,8,-0.19
1956,9,-0.24
1956,10,-0.22
1956,11,-0.15
1956,12,-0.02
1957,1,-0.06
1957,2,-0.09
1957,3,-0.09
1957,4,-0.05
1957,5,0.06
1957,6,0.15
1957,7,0.01
1957,8,0.26
1957,9,0.17
1957,10,0.09
1957,11,0.08
1957,12,0.17
1958,1,0.35
1958,2,0.26
1958,3,0.12
1958,4,0.06
1958,5,0.1
1958,6,-0.03
1958,7,0.02
1958,8,0.01
1958,9,-0.03
1958,10,0.04
1958,11,0.04
1958,12,0.08
1959,1,0.07
1959,2,0.1
1959,3,0.19
1959,4,0.17
1959,5,0.04
1959,6,0.11
1959,7,0.08
1959,8,0.04
1959,9,0.1
1959,10,-0.06
1959,11,-0.03
1959,12,0.02
1960,1,0.05
1960,2,0.11
1960,3,-0.25
1960,4,-0.09
1960,5,-0.04
1960,6,0.08
1960,7,0.08
1960,8,0.01
1960,9,0.13
1960,10,0.08
1960,11,-0.11
1960,12,0.26
1961,1,0.14
1961,2,0.18
1961,3,0.1
1961,4,0.21
1961,5,0.04
1961,6,0.1
1961,7,0.05
1961,8,0.05
1961,9,0.08
1961,10,-0.12
1961,11,0.04
1961,12,-0.09
1962,1,0.08
1962,2,0.11
1962,3,0.16
1962,4,-0.01
1962,5,0.02
1962,6,-0.06
1962,7,0.1
1962,8,0.07
1962,9,-0.04
1962,10,0.03
1962,11,0.11
1962,12,0.06
1963,1,0.02
1963,2,0.21
1963,3,-0.13
1963,4,0.01
1963,5,-0.02
1963,6,0.09
1963,7,0.04
1963,8,0.18
1963,9,0.13
1963,10,0.21
1963,11,0.19
1963,12,0.05
1964,1,-0.08
1964,2,-0.11
1964,3,-0.15
1964,4,-0.24
1964,5,-0.15
1964,6,-0.04
1964,7,-0.01
1964,8,-0.19
1964,9,-0.15
1964,10,-0.27
1964,11,-0.2
1964,12,-0.24
1965,1,-0.09
1965,2,-0.15
1965,3,-0.11
1965,4,-0.11
1965,5,-0.19
1965,6,-0.07
1965,7,0
1965,8,0.01
1965,9,-0.07
1965,10,0.01
1965,11,0.03
1965,12,-0.02
1966,1,-0.14
1966,2,-0.05
1966,3,-0.03
1966,4,-0.07
1966,5,-0.1
1966,6,0.11
1966,7,0.09
1966,8,-0.02
1966,9,0.06
1966,10,-0.14
1966,11,0.01
1966,12,0.01
1967,1,-0.11
1967,2,-0.15
1967,3,0.05
1967,4,0
1967,5,0.21
1967,6,0.02
1967,7,-0.02
1967,8,0.09
1967,9,-0.04
1967,10,0.12
1967,11,-0.04
1967,12,0.04
1968,1,-0.18
1968,2,-0.1
1968,3,0.17
1968,4,-0.04
1968,5,-0.17
1968,6,-0.13
1968,7,-0.05
1968,8,-0.03
1968,9,-0.11
1968,10,0.04
1968,11,-0.05
1968,12,-0.07
1969,1,-0.08
1969,2,-0.11
1969,3,0.08
1969,4,0.11
1969,5,0.18
1969,6,0
1969,7,0.1
1969,8,0.1
1969,9,0.14
1969,10,0.1
1969,11,0.15
1969,12,0.32
1970,1,0.15
1970,2,0.21
1970,3,0.07
1970,4,0.08
1970,5,0.05
1970,6,0.05
1970,7,0.03
1970,8,0.03
1970,9,0.06
1970,10,-0.03
1970,11,0.04
1970,12,-0.1
1971,1,-0.02
1971,2,-0.15
1971,3,-0.09
1971,4,-0.09
1971,5,-0.03
1971,6,-0.07
1971,7,-0.01
1971,8,-0.02
1971,9,0.01
1971,10,-0.08
1971,11,-0.05
1971,12,-0.05
1972,1,-0.24
1972,2,-0.16
1972,3,0.06
1972,4,0.05
1972,5,0
1972,6,0.07
1972,7,0.06
1972,8,0.09
1972,9,0.03
1972,10,0.11
1972,11,0.06
1972,12,0.14
1973,1,0.34
1973,2,0.38
1973,3,0.35
1973,4,0.28
1973,5,0.24
1973,6,0.25
1973,7,0.15
1973,8,0.13
1973,9,0.11
1973,10,0.06
1973,11,0.02
1973,12,0.04
1974,1,-0.08
1974,2,-0.24
1974,3,-0.01
1974,4,-0.06
1974,5,-0.02
1974,6,-0.06
1974,7,0.04
1974,8,0.04
1974,9,-0.02
1974,10,-0.06
1974,11,-0.1
1974,12,-0.06
1975,1,0.06
1975,2,0.08
1975,3,0.11
1975,4,0.11
1975,5,0.08
1975,6,0.06
1975,7,0.04
1975,8,-0.02
1975,9,0.03
1975,10,-0.12
1975,11,-0.17
1975,12,-0.1
1976,1,-0.01
1976,2,-0.08
1976,3,-0.13
1976,4,0.04
1976,5,-0.11
1976,6,-0.05
1976,7,-0.03
1976,8,0
1976,9,0.03
1976,10,-0.16
1976,11,-0.03
1976,12,0.12
1977,1,0.2
1977,2,0.22
1977,3,0.25
1977,4,0.28
1977,5,0.28
1977,6,0.26
1977,7,0.18
1977,8,0.16
1977,9,0.2
1977,10,0.12
1977,11,0.23
1977,12,0.11
1978,1,0.15
1978,2,0.15
1978,3,0.22
1978,4,0.14
1978,5,0.1
1978,6,0.05
1978,7,0.06
1978,8,0
1978,9,0.1
1978,10,0.07
1978,11,0.2
1978,12,0.12
1979,1,0.14
1979,2,-0.06
1979,3,0.2
1979,4,0.1
1979,5,0.17
1979,6,0.23
1979,7,0.23
1979,8,0.25
1979,9,0.27
1979,10,0.31
1979,11,0.31
1979,12,0.5
1980,1,0.35
1980,2,0.43
1980,3,0.31
1980,4,0.33
1980,5,0.38
1980,6,0.28
1980,7,0.27
1980,8,0.22
1980,9,0.2
1980,10,0.2
1980,11,0.27
1980,12,0.23
1981,1,0.55
1981,2,0.43
1981,3,0.45
1981,4,0.38
1981,5,0.31
1981,6,0.34
1981,7,0.26
1981,8,0.26
1981,9,0.23
1981,10,0.25
1981,11,0.31
1981,12,0.45
1982,1,0.11
1982,2,0.21
1982,3,0.12
1982,4,0.21
1982,5,0.18
1982,6,0.16
1982,7,0.18
1982,8,0.15
1982,9,0.23
1982,10,0.17
1982,11,0.12
1982,12,0.41
1983,1,0.51
1983,2,0.46
1983,3,0.44
1983,4,0.25
1983,5,0.29
1983,6,0.31
1983,7,0.31
1983,8,0.36
1983,9,0.34
1983,10,0.23
1983,11,0.37
1983,12,0.27
1984,1,0.31
1984,2,0.22
1984,3,0.28
1984,4,0.13
1984,5,0.32
1984,6,0.17
1984,7,0.16
1984,8,0.19
1984,9,0.2
1984,10,0.2
1984,11,0.1
1984,12,0.06
1985,1,0.28
1985,2,0.07
1985,3,0.25
1985,4,0.12
1985,5,0.22
1985,6,0.16
1985,7,0.1
1985,8,0.15
1985,9,0.16
1985,10,0.15
1985,11,0.14
1985,12,0.17
1986,1,0.23
1986,2,0.38
1986,3,0.33
1986,4,0.27
1986,5,0.35
1986,6,0.22
1986,7,0.13
1986,8,0.14
1986,9,0.03
1986,10,0.18
1986,11,0.13
1986,12,0.16
1987,1,0.3
1987,2,0.36
1987,3,0.15
1987,4,0.21
1987,5,0.33
1987,6,0.4
1987,7,0.46
1987,8,0.34
1987,9,0.39
1987,10,0.34
1987,11,0.26
1987,12,0.48
1988,1,0.53
1988,2,0.46
1988,3,0.46
1988,4,0.45
1988,5,0.48
1988,6,0.41
1988,7,0.38
1988,8,0.5
1988,9,0.41
1988,10,0.4
1988,11,0.16
1988,12,0.32
1989,1,0.12
1989,2,0.33
1989,3,0.36
1989,4,0.4
1989,5,0.24
1989,6,0.1
1989,7,0.32
1989,8,0.32
1989,9,0.4
1989,10,0.34
1989,11,0.19
1989,12,0.4
1990,1,0.4
1990,2,0.38
1990,3,0.78
1990,4,0.61
1990,5,0.5
1990,6,0.42
1990,7,0.35
1990,8,0.38
1990,9,0.3
1990,10,0.41
1990,11,0.42
1990,12,0.41
1991,1,0.42
1991,2,0.52
1991,3,0.38
1991,4,0.58
1991,5,0.43
1991,6,0.56
1991,7,0.41
1991,8,0.37
1991,9,0.39
1991,10,0.33
1991,11,0.31
1991,12,0.32
1992,1,0.44
1992,2,0.42
1992,3,0.46
1992,4,0.23
1992,5,0.37
1992,6,0.28
1992,7,0.13
1992,8,0.11
1992,9,0.06
1992,10,0.02
1992,11,0.05
1992,12,0.22
1993,1,0.34
1993,2,0.39
1993,3,0.38
1993,4,0.36
1993,5,0.31
1993,6,0.32
1993,7,0.31
1993,8,0.11
1993,9,0.21
1993,10,0.22
1993,11,0.1
1993,12,0.18
1994,1,0.22
1994,2,0.06
1994,3,0.3
1994,4,0.41
1994,5,0.32
1994,6,0.43
1994,7,0.32
1994,8,0.26
1994,9,0.27
1994,10,0.45
1994,11,0.42
1994,12,0.4
1995,1,0.55
1995,2,0.77
1995,3,0.49
1995,4,0.51
1995,5,0.32
1995,6,0.49
1995,7,0.44
1995,8,0.5
1995,9,0.44
1995,10,0.44
1995,11,0.48
1995,12,0.32
1996,1,0.28
1996,2,0.49
1996,3,0.36
1996,4,0.37
1996,5,0.34
1996,6,0.37
1996,7,0.35
1996,8,0.44
1996,9,0.27
1996,10,0.21
1996,11,0.44
1996,12,0.38
1997,1,0.29
1997,2,0.39
1997,3,0.52
1997,4,0.4
1997,5,0.41
1997,6,0.57
1997,7,0.42
1997,8,0.46
1997,9,0.6
1997,10,0.68
1997,11,0.65
1997,12,0.59
1998,1,0.58
1998,2,0.83
1998,3,0.68
1998,4,0.7
1998,5,0.69
1998,6,0.76
1998,7,0.69
1998,8,0.69
1998,9,0.48
1998,10,0.43
1998,11,0.44
1998,12,0.58
1999,1,0.49
1999,2,0.63
1999,3,0.39
1999,4,0.37
1999,5,0.33
1999,6,0.38
1999,7,0.41
1999,8,0.34
1999,9,0.46
1999,10,0.37
1999,11,0.39
1999,12,0.48
2000,1,0.34
2000,2,0.56
2000,3,0.59
2000,4,0.62
2000,5,0.39
2000,6,0.36
2000,7,0.41
2000,8,0.47
2000,9,0.44
2000,10,0.33
2000,11,0.33
2000,12,0.3
2001,1,0.43
2001,2,0.46
2001,3,0.56
2001,4,0.55
2001,5,0.57
2001,6,0.55
2001,7,0.62
2001,8,0.48
2001,9,0.57
2001,10,0.47
2001,11,0.71
2001,12,0.63
2002,1,0.68
2002,2,0.7
2002,3,0.85
2002,4,0.56
2002,5,0.66
2002,6,0.54
2002,7,0.58
2002,8,0.52
2002,9,0.66
2002,10,0.57
2002,11,0.62
2002,12,0.51
2003,1,0.71
2003,2,0.57
2003,3,0.6
2003,4,0.6
2003,5,0.64
2003,6,0.52
2003,7,0.6
2003,8,0.58
2003,9,0.65
2003,10,0.76
2003,11,0.56
2003,12,0.75
2004,1,0.58
2004,2,0.67
2004,3,0.65
2004,4,0.65
2004,5,0.42
2004,6,0.47
2004,7,0.32
2004,8,0.43
2004,9,0.52
2004,10,0.6
2004,11,0.72
2004,12,0.49
2005,1,0.74
2005,2,0.62
2005,3,0.76
2005,4,0.7
2005,5,0.7
2005,6,0.66
2005,7,0.66
2005,8,0.59
2005,9,0.72
2005,10,0.74
2005,11,0.78
2005,12,0.74
2006,1,0.63
2006,2,0.81
2006,3,0.67
2006,4,0.52
2006,5,0.51
2006,6,0.65
2006,7,0.55
2006,8,0.73
2006,9,0.69
2006,10,0.68
2006,11,0.72
2006,12,0.77
2007,1,0.93
2007,2,0.73
2007,3,0.69
2007,4,0.81
2007,5,0.65
2007,6,0.57
2007,7,0.58
2007,8,0.58
2007,9,0.6
2007,10,0.6
2007,11,0.58
2007,12,0.52
2008,1,0.29
2008,2,0.35
2008,3,0.73
2008,4,0.52
2008,5,0.52
2008,6,0.51
2008,7,0.56
2008,8,0.47
2008,9,0.62
2008,10,0.69
2008,11,0.71
2008,12,0.57
2009,1,0.66
2009,2,0.52
2009,3,0.54
2009,4,0.59
2009,5,0.61
2009,6,0.63
2009,7,0.72
2009,8,0.7
2009,9,0.73
2009,10,0.69
2009,11,0.82
2009,12,0.7
2010,1,0.74
2010,2,0.82
2010,3,0.9
2010,4,0.89
2010,5,0.78
2010,6,0.7
2010,7,0.65
2010,8,0.66
2010,9,0.62
2010,10,0.68
2010,11,0.79
2010,12,0.52
2011,1,0.55
2011,2,0.51
2011,3,0.67
2011,4,0.65
2011,5,0.55
2011,6,0.63
2011,7,0.72
2011,8,0.7
2011,9,0.6
2011,10,0.71
2011,11,0.6
2011,12,0.61
2012,1,0.48
2012,2,0.54
2012,3,0.54
2012,4,0.75
2012,5,0.76
2012,6,0.66
2012,7,0.63
2012,8,0.65
2012,9,0.75
2012,10,0.79
2012,11,0.79
2012,12,0.56
2013,1,0.7
2013,2,0.62
2013,3,0.68
2013,4,0.57
2013,5,0.67
2013,6,0.67
2013,7,0.61
2013,8,0.69
2013,9,0.77
2013,10,0.68
2013,11,0.81
2013,12,0.72
2014,1,0.74
2014,2,0.57
2014,3,0.82
2014,4,0.84
2014,5,0.87
2014,6,0.72
2014,7,0.61
2014,8,0.83
2014,9,0.87
2014,10,0.82
2014,11,0.68
2014,12,0.79
2015,1,0.82
2015,2,0.9
2015,3,0.97
2015,4,0.81
2015,5,0.83
2015,6,0.87
2015,7,0.76
2015,8,0.83
2015,9,0.9
2015,10,1.1
2015,11,1.06
2015,12,1.13
2016,1,1.22
2016,2,1.33
2016,3,1.35
2016,4,1.15
2016,5,1
2016,6,0.84
2016,7,0.86
2016,8,0.97
2016,9,0.92
2016,10,0.88
2016,11,0.94
2016,12,0.9
2017,1,1.05
2017,2,1.11
2017,3,1.18
2017,4,0.99
2017,5,0.91
2017,6,0.77
2017,7,0.83
2017,8,0.89
2017,9,0.83
2017,10,0.91
2017,11,0.91
2017,12,0.99
2018,1,0.83
2018,2,0.89
2018,3,0.93
2018,4,0.9
2018,5,0.81
2018,6,0.76
2018,7,0.8
2018,8,0.76
2018,9,0.82
2018,10,1.05
2018,11,0.84
2018,12,0.93
2019,1,0.91
2019,2,0.92
2019,3,1.16
2019,4,1.03
2019,5,0.9
2019,6,0.91
2019,7,0.91
2019,8,0.92
2019,9,0.96
2019,10,1.01
2019,11,0.99
2019,12,1.1
2020,1,1.13
2020,2,1.2
2020,3,1.16
2020,4,1.14
2020,5,0.99
2020,6,0.92
2020,7,0.91
2020,8,0.9
2020,9,0.98
2020,10,0.9
2020,11,1.05
2020,12,0.83
2021,1,0.83
2021,2,0.66
2021,3,0.88
2021,4,0.79
2021,5,0.81
2021,6,0.86
2021,7,0.92
2021,8,0.84
2021,9,0.92
2021,10,0.99
2021,11,0.95
2021,12,0.87
2022,1,0.93
2022,2,0.91
2022,3,1.11
2022,4,0.9
2022,5,0.86
2022,6,0.89
2022,7,0.89
2022,8,0.93
2022,9,0.89
2022,10,0.96
2022,11,0.75
2022,12,0.84
2023,1,0.89
2023,2,1
2023,3,1.23
2023,4,0.97
2023,5,0.95
2023,6,1.06
2023,7,1.13
2023,8,1.23
2023,9,1.43
2023,10,1.36
2023,11,1.44
