Year,IceInDayofYear,IceOutDayofYear,LengthOfIceCover_days,IceInDayofYear_fed,cumMeanDailyT_Jan,cumMeanDailyT_Feb,cumMeanDailyT_Mar,cumMeanDailyT_Apr,cumMeanDailyT_Sep,cumMeanDailyT_Oct,cumMeanDailyT_Nov,cumMeanDailyT_Dec,cumSnow_Jan,cumSnow_Feb,cumSnow_Mar,cumSnow_Apr,cumSnow_Sep,cumSnow_Oct,cumSnow_Nov,cumSnow_Dec,cumRain_Jan,cumRain_Feb,cumRain_Mar,cumRain_Apr,cumRain_Sep,cumRain_Oct,cumRain_Nov,cumRain_Dec,percPrecipRain_Jan,percPrecipRain_Feb,percPrecipRain_Mar,percPrecipRain_Apr,percPrecipRain_Sep,percPrecipRain_Oct,percPrecipRain_Nov,percPrecipRain_Dec,nDaysMeanBelowZero_Jan,nDaysMeanBelowZero_Feb,nDaysMeanBelowZero_Mar,nDaysMeanBelowZero_Apr,nDaysMeanBelowZero_Sep,nDaysMeanBelowZero_Oct,nDaysMeanBelowZero_Nov,nDaysMeanBelowZero_Dec,nDaysMinBelowZero_Jan,nDaysMinBelowZero_Feb,nDaysMinBelowZero_Mar,nDaysMinBelowZero_Apr,nDaysMinBelowZero_Sep,nDaysMinBelowZero_Oct,nDaysMinBelowZero_Nov,nDaysMinBelowZero_Dec,cumMeanDailyT_SepOct,cumMeanDailyT_SepOctNov,cumMeanDailyT_OctNov,cumMeanDailyT_OctNovDec,cumSnow_OctNov,cumSnow_OctNovDec,cumSnow_SepOct,cumSnow_SepOctNov,cumRain_SepOct,cumRain_SepOctNov,cumRain_OctNov,cumRain_OctNovDec,nDaysMeanBelowZero_SepOct,nDaysMeanBelowZero_SepOctNov,nDaysMeanBelowZero_OctNov,nDaysMeanBelowZero_OctNovDec,nDaysMinBelowZero_SepOct,nDaysMinBelowZero_SepOctNov,nDaysMinBelowZero_OctNov,nDaysMinBelowZero_OctNovDec,cumMeanDailyT_MarApr,cumMeanDailyT_FebMarApr,cumMeanDailyT_FebMar,cumMeanDailyT_JanFebMar,cumSnow_MarApr,cumSnow_FebMarApr,cumSnow_FebMar,cumSnow_JanFebMar,cumRain_MarApr,cumRain_FebMarApr,cumRain_FebMar,cumRain_JanFebMar,nDaysMeanAboveZero_MarApr,nDaysMeanAboveZero_Mar,nDaysMeanAboveZero_FebMar,nDaysMinAboveZero_MarApr,nDaysMinAboveZero_Mar,nDaysMinAboveZero_FebMar,maxSnowDepth_mm,maxSnowDepthDOY_fed,ENSO_index_spring,ENSO_index_summer,ENSO_index_winter,ENSO_index_fall,ENSO_Jan,ENSO_Feb,ENSO_Mar,ENSO_Apr,ENSO_Oct,ENSO_Nov,ENSO_Dec,ENSO_Oct_to_Mar,NAO_index_spring,NAO_index_summer,NAO_index_winter,NAO_index_fall,NAO_index_Jan,NAO_index_Feb,NAO_index_Mar,NAO_index_Apr,NAO_index_May,NAO_index_Jun,NAO_index_Jul,NAO_index_Aug,NAO_index_Sep,NAO_index_Oct,NAO_index_Nov,NAO_index_Dec,GlobalTempanomaly_C,isotherm_TempMax_degC_17_days_0_degC_WaterYear_date,isotherm_TempMean_degC_29_days_4_degC_WaterYear_date
1906,NA,NA,NA,NA,NA,-121.67,-92.80000000000001,225.82999999999996,528.88,335.85000000000014,87.49999999999999,-21.619999999999994,76.19999999999999,304.79999999999995,406.3999999999999,241.3,NA,0,101.6,38.1,75.18400000000001,71.37400000000001,NA,131.064,81.28,50.038,50.292,85.852,49.664429530201346,18.97366644159352,NA,35.19781718963165,NA,100,33.11036789297659,69.26229508196722,NA,21,22,1,0,0,6,14,27,24,28,8,0,3,17,26,864.7300000000001,952.2300000000001,423.35000000000014,401.73000000000013,101.6,139.7,NA,NA,131.31799999999998,181.60999999999999,100.33,186.18200000000002,0,6,6,20,3,20,20,46,133.02999999999994,11.359999999999928,-214.47000000000003,NA,647.6999999999999,952.4999999999998,711.1999999999998,787.3999999999999,NA,NA,NA,NA,38,9,16,25,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1907,NA,NA,NA,NA,NA,NA,NA,NA,480.8400000000001,NA,91.4,NA,457.20000000000005,508,NA,152.39999999999998,NA,0,NA,177.79999999999998,122.93599999999999,65.278,50.038000000000004,NA,228.854,95.25,46.482,140.20800000000003,21.190893169877402,11.386796632698273,NA,NA,NA,100,NA,44.08945686900959,NA,NA,NA,NA,0,NA,6,NA,NA,NA,NA,NA,0,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,324.10400000000004,370.586,141.732,281.94000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.316,238.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,NA,NA,NA,NA,-123.05,NA,NA,213.35000000000002,NA,NA,NA,NA,254,NA,NA,NA,NA,0,50.8,342.9,50.292,119.126,39.878,71.374,30.48,183.38799999999998,125.22200000000001,142.494,16.527545909849746,NA,NA,NA,NA,100,71.13997113997115,29.356357927786497,26,NA,NA,3,NA,NA,NA,NA,29,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,50.8,393.7,NA,NA,213.86799999999997,339.09,308.61,451.10400000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.252,230.37800000000001,159.00400000000002,209.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1909,NA,NA,NA,NA,-103.89,-34.47000000000001,-17.220000000000006,210.55999999999992,469.46,360.2900000000001,107.19999999999999,-78.04,NA,NA,330.20000000000005,NA,NA,NA,NA,NA,125.47600000000003,159.51199999999997,84.83600000000001,127.00000000000001,143.256,81.534,NA,72.39,NA,NA,20.4406364749082,NA,NA,NA,NA,NA,21,15,18,3,0,0,5,24,26,26,31,11,0,2,14,29,829.75,936.95,467.49000000000007,389.45000000000005,NA,NA,NA,NA,224.79000000000002,NA,NA,NA,0,5,5,29,2,16,16,45,193.33999999999992,158.8699999999999,-51.69000000000002,-155.58,NA,NA,NA,NA,211.836,371.348,244.34799999999998,369.824,40,13,26,19,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,NA,NA,NA,NA,-124.46000000000001,-131.94000000000003,147.24,323.06000000000006,477.73000000000013,283.33,198.35,-105.25,457.2,635,NA,NA,NA,0,NA,279.4,184.91199999999998,179.32399999999998,24.891999999999996,203.962,NA,30.988000000000007,38.608,125.222,28.79746835443038,22.021210230817218,NA,NA,NA,100,NA,30.947897049591965,27,23,7,0,0,0,4,25,29,26,17,1,0,4,11,29,761.0600000000002,959.4100000000002,481.67999999999995,376.42999999999995,NA,NA,NA,NA,NA,NA,69.596,194.81799999999998,0,4,4,29,4,15,15,44,470.30000000000007,338.36,15.299999999999983,-109.16000000000003,NA,NA,NA,NA,228.85399999999998,408.178,204.21599999999998,389.128,54,24,29,43,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1911,NA,NA,NA,NA,NA,-128.60999999999996,-19.720000000000006,197.22000000000003,469.43,408.87,70.87000000000002,NA,NA,380.99999999999994,NA,152.4,NA,NA,198.12,101.6,66.294,69.342,NA,76.45400000000001,90.424,40.64,115.31599999999999,NA,NA,15.397631133671744,NA,33.40732519422864,NA,NA,36.790923824959485,NA,NA,24,14,4,0,0,5,NA,NA,27,30,15,0,2,22,NA,878.3,949.17,479.74,NA,NA,NA,NA,NA,131.06400000000002,246.38,155.956,NA,0,5,5,NA,2,24,24,NA,177.50000000000003,48.89000000000007,-148.32999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,17,21,16,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,NA,NA,NA,NA,-288.04,-172.78999999999994,-38.900000000000006,213.91,476.3900000000001,300.0099999999999,74.16,35.85000000000001,330.2,NA,279.4,0,NA,NA,NA,101.6,NA,58.42,NA,125.72999999999999,NA,266.95399999999995,39.62400000000001,NA,NA,NA,NA,100,NA,NA,NA,NA,29,24,16,2,0,0,9,12,30,27,27,9,0,3,17,19,776.4,850.56,374.16999999999985,410.01999999999987,NA,NA,NA,NA,NA,NA,306.578,NA,0,9,9,21,3,20,20,39,175.01,2.2200000000000557,-211.68999999999994,-499.7299999999999,279.4,NA,NA,NA,NA,NA,NA,NA,43,15,19,25,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1913,NA,NA,NA,NA,33.38,-134.44,136.39,275.0199999999999,478.89000000000004,376.96000000000004,180.58999999999995,24.730000000000004,NA,228.60000000000002,NA,NA,NA,NA,0,101.6,NA,90.678,172.974,136.906,102.87,114.3,NA,117.602,NA,28.400954653937944,NA,NA,NA,NA,NA,53.650057937427576,11,20,7,1,0,0,4,15,24,27,18,7,0,0,9,19,855.8500000000001,1036.44,557.55,582.28,NA,NA,NA,NA,217.17000000000002,NA,NA,NA,0,4,4,19,0,9,9,28,411.4099999999999,276.9699999999999,1.9499999999999886,35.329999999999984,NA,NA,NA,NA,309.88,400.558,263.652,NA,53,24,32,36,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1914,NA,NA,NA,NA,-146.08999999999995,-237.76999999999998,-12.789999999999996,188.89000000000001,519.18,392.49999999999994,172.20000000000002,9.460000000000013,393.7,457.20000000000005,660.4000000000001,NA,NA,NA,NA,NA,129.54,83.566,227.33000000000004,121.92000000000003,8.128,148.33599999999998,76.2,80.264,24.757281553398055,15.453264443400656,25.60801144492132,NA,NA,NA,NA,NA,24,23,17,2,0,0,2,13,28,28,28,13,0,0,11,22,911.6799999999998,1083.8799999999999,564.6999999999999,574.16,NA,NA,NA,NA,156.464,232.664,224.536,304.8,0,2,2,15,0,11,11,33,176.10000000000002,-61.66999999999996,-250.55999999999997,-396.6499999999999,NA,NA,1117.6000000000001,1511.3000000000002,349.25000000000006,432.8160000000001,310.8960000000001,440.43600000000004,42,14,19,20,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1915,NA,NA,NA,NA,-91.4,-49.72,-16.939999999999998,332.79,537.48,407.79000000000013,100.01,-115.00999999999999,241.3,76.2,139.7,50.8,NA,NA,177.79999999999998,190.5,166.624,113.28399999999999,7.112,51.053999999999995,72.89800000000001,90.17,89.916,99.822,40.846824408468244,59.78552278820376,4.844290657439447,50.12468827930174,NA,NA,33.58633776091081,34.38320209973753,23,18,16,1,0,0,7,26,29,22,30,6,0,1,14,28,945.2700000000002,1045.2800000000002,507.8000000000001,392.79000000000013,NA,NA,NA,NA,163.068,252.984,180.086,279.908,0,7,7,33,1,15,15,43,315.85,266.13,-66.66,-158.06,190.5,266.7,215.89999999999998,457.2,58.166,171.45,120.39599999999999,287.02000000000004,44,15,25,25,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1916,NA,NA,NA,NA,-68.32,-188.36,-96.11,211.41,509.4199999999999,328.35999999999996,142.22000000000003,-98.9,NA,622.3,NA,254,NA,NA,NA,820.4200000000001,25.654000000000003,140.716,146.30399999999997,102.87000000000003,104.902,63.5,30.988,226.06000000000003,NA,18.442077230359523,NA,28.825622775800717,NA,NA,NA,21.601941747572816,19,27,23,0,0,0,1,25,26,28,25,7,0,0,15,29,837.7799999999999,979.9999999999999,470.58,371.67999999999995,NA,NA,NA,NA,168.402,199.39,94.488,320.548,0,1,1,26,0,15,15,44,115.3,-73.06000000000003,-284.47,-352.79,NA,NA,NA,NA,249.174,389.89,287.02,312.674,38,8,9,29,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,NA,NA,NA,NA,-113.88,-167.23000000000005,21.119999999999994,225.85000000000002,468.87,338.3500000000001,115.85000000000001,-126.38,307.34000000000003,406.3999999999999,342.90000000000003,50.8,NA,NA,NA,342.9,106.934,78.232,125.73,52.06999999999999,16.256,39.878,103.63199999999998,NA,25.81238503985285,16.142557651991616,26.829268292682922,50.617283950617285,NA,NA,NA,NA,22,22,11,0,0,0,6,21,29,26,26,9,0,2,13,26,807.22,923.07,454.2000000000001,327.8200000000001,NA,NA,NA,NA,56.134,159.76599999999996,143.51,NA,0,6,6,27,2,15,15,41,246.97000000000003,79.73999999999998,-146.11000000000004,-259.99,393.70000000000005,800.0999999999999,749.3,1056.64,177.8,256.032,203.962,310.896,50,20,26,26,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,NA,NA,NA,NA,-297.5,-128.32999999999998,93.89,241.41000000000003,425.02,296.94,NA,-236.37999999999997,NA,210.82,154.94,228.6,NA,NA,127,533.4,124.46000000000002,57.657999999999994,43.18,157.734,169.926,80.264,30.48,96.52,NA,21.47587511825922,21.794871794871796,40.828402366863905,NA,NA,19.35483870967742,15.32258064516129,30,19,8,2,0,0,NA,26,31,26,22,10,0,0,NA,31,721.96,NA,NA,NA,NA,NA,NA,NA,250.19,280.67,110.744,207.264,0,NA,NA,NA,0,NA,NA,NA,335.3,206.97000000000003,-34.43999999999998,-331.94,383.53999999999996,594.36,365.76,NA,200.91400000000002,258.572,100.838,225.29800000000003,51,23,32,29,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
